country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Kerala,Thiruvananthapuram,"Kariavattom, Thiruvananthapuram - Kerala PCB","06-04-2025 22:00:00",8.563700,76.886500,SO2,1,9,5
India,"Madhya Pradesh",Bhopal,"Idgah Hills, Bhopal - MPPCB","06-04-2025 22:00:00",23.264759,77.381568,NH3,3,10,6
India,"Madhya Pradesh",Bhopal,"Idgah Hills, Bhopal - MPPCB","06-04-2025 22:00:00",23.264759,77.381568,OZONE,46,104,85
India,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB","06-04-2025 22:00:00",13.940000,75.555917,PM10,38,61,49
India,Karnataka,Haveri,"Ashwini Nagar, Haveri - KSPCB","06-04-2025 22:00:00",14.791800,75.389600,NO2,NA,NA,NA
India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB","06-04-2025 22:00:00",10.073232,76.302765,NH3,NA,NA,NA
India,"Madhya Pradesh",Indore,"Chhoti Gwaltoli, Indore - MPPCB","06-04-2025 22:00:00",22.4310,75.5213,NH3,4,23,16
India,"Madhya Pradesh",Indore,"Chhoti Gwaltoli, Indore - MPPCB","06-04-2025 22:00:00",22.4310,75.5213,SO2,7,22,12
India,"Madhya Pradesh",Indore,"Regional Park, Indore - IMC","06-04-2025 22:00:00",22.6780,75.8559,NO2,35,60,44
India,"Madhya Pradesh",Indore,"Residency Area, Indore - IMC","06-04-2025 22:00:00",22.7084,75.8815,PM2.5,40,229,87
India,"Madhya Pradesh",Dewas,"Bhopal Chauraha, Dewas - MPPCB","06-04-2025 22:00:00",22.9682591,76.064118,SO2,61,82,68
India,"Madhya Pradesh",Dewas,"Bhopal Chauraha, Dewas - MPPCB","06-04-2025 22:00:00",22.9682591,76.064118,OZONE,59,82,65
India,"Madhya Pradesh",Gwalior,"City Center, Gwalior - MPPCB","06-04-2025 22:00:00",26.203442,78.193251,NH3,2,3,3
India,"Madhya Pradesh",Gwalior,"City Center, Gwalior - MPPCB","06-04-2025 22:00:00",26.203442,78.193251,SO2,5,25,14
India,"Madhya Pradesh",Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB","06-04-2025 22:00:00",26.259242,78.216432,NO2,5,118,51
India,"Madhya Pradesh",Bhopal,"Paryavaran Parisar, Bhopal - MPPCB","06-04-2025 22:00:00",23.210494,77.425409,NH3,2,36,7
India,"Madhya Pradesh",Dewas,"Bhopal Chauraha, Dewas - MPPCB","06-04-2025 22:00:00",22.9682591,76.064118,NO2,78,126,98
India,"Madhya Pradesh",Bhopal,"Paryavaran Parisar, Bhopal - MPPCB","06-04-2025 22:00:00",23.210494,77.425409,CO,8,64,22
India,"Madhya Pradesh",Indore,"Chhoti Gwaltoli, Indore - MPPCB","06-04-2025 22:00:00",22.4310,75.5213,PM10,104,236,149
India,"Madhya Pradesh",Gwalior,"Maharaj Bada, Gwalior - MPPCB","06-04-2025 22:00:00",26.200388,78.147714,NO2,2,5,3
India,"Madhya Pradesh",Jabalpur,"Gupteshwar, Jabalpur - JMC","06-04-2025 22:00:00",23.142888,79.916147,SO2,NA,NA,NA
India,"Madhya Pradesh",Sagar,"Civil Lines, Sagar - MPPCB","06-04-2025 22:00:00",23.838586,78.759431,OZONE,9,48,37
India,"Madhya Pradesh",Sagar,"Deen Dayal Nagar, Sagar - MPPCB","06-04-2025 22:00:00",23.8640158,78.80289321,PM2.5,19,98,57
India,"Madhya Pradesh",Satna,"Bandhavgar Colony, Satna - Birla Cement","06-04-2025 22:00:00",24.58434363,80.8549414,CO,NA,NA,NA
India,"Madhya Pradesh",Singrauli,"Suryakiran Bhawan NCL, Singrauli - MPPCB","06-04-2025 22:00:00",24.108970,82.645580,OZONE,3,105,84
India,Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB","06-04-2025 22:00:00",19.875620,75.387310,NO2,7,105,31
India,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB","06-04-2025 22:00:00",19.8389439,75.244448,CO,30,48,41
India,Maharashtra,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB","06-04-2025 22:00:00",19.863756,75.321188,PM2.5,57,119,87
India,Maharashtra,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB","06-04-2025 22:00:00",19.863756,75.321188,PM10,50,136,87
India,Maharashtra,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB","06-04-2025 22:00:00",19.863756,75.321188,SO2,17,51,24
